Timestamp: 2024-03-25 01:24:14, Average Voltage (With Zeros): 0 V, Average Power (With Zeros): 0 W, Average Voltage (Without Zeros): 0 V, Average Power (Without Zeros): 0 W, Total Power: 0 W*h
Timestamp: 2024-03-25 01:24:39, Average Voltage (With Zeros): 0 V, Average Power (With Zeros): 0 W, Average Voltage (Without Zeros): 0 V, Average Power (Without Zeros): 0 W, Total Power: 0 W*h

Timestamp: 2024-03-25 01:24:40, Average Voltage (With Zeros): 1.813 V, Average Power (With Zeros): 6.57394e-06 W, Average Voltage (Without Zeros): 3.626 V, Average Power (Without Zeros): 2.62958e-05 W, Total Power: 2.62958e-05 W*h

Timestamp: 2024-03-25 01:24:41, Average Voltage (With Zeros): 1.06267 V, Average Power (With Zeros): 2.25852e-06 W, Average Voltage (Without Zeros): 3.188 V, Average Power (Without Zeros): 2.03267e-05 W, Total Power: 2.03267e-05 W*h

Timestamp: 2024-03-25 01:24:42, Average Voltage (With Zeros): 0.984667 V, Average Power (With Zeros): 1.93914e-06 W, Average Voltage (Without Zeros): 2.954 V, Average Power (Without Zeros): 1.74522e-05 W, Total Power: 1.74522e-05 W*h

Timestamp: 2024-03-25 01:24:43, Average Voltage (With Zeros): 0 V, Average Power (With Zeros): 0 W, Average Voltage (Without Zeros): 0 V, Average Power (Without Zeros): 0 W, Total Power: 0 W*h

Timestamp: 2024-03-25 01:24:44, Average Voltage (With Zeros): 1.053 V, Average Power (With Zeros): 2.21762e-06 W, Average Voltage (Without Zeros): 3.159 V, Average Power (Without Zeros): 1.99586e-05 W, Total Power: 1.99586e-05 W*h

Timestamp: 2024-03-25 01:24:45, Average Voltage (With Zeros): 1.03333 V, Average Power (With Zeros): 2.13556e-06 W, Average Voltage (Without Zeros): 3.1 V, Average Power (Without Zeros): 1.922e-05 W, Total Power: 1.922e-05 W*h

Timestamp: 2024-03-25 01:24:46, Average Voltage (With Zeros): 0 V, Average Power (With Zeros): 0 W, Average Voltage (Without Zeros): 0 V, Average Power (Without Zeros): 0 W, Total Power: 0 W*h

Timestamp: 2024-03-25 01:24:47, Average Voltage (With Zeros): 0.965 V, Average Power (With Zeros): 1.86245e-06 W, Average Voltage (Without Zeros): 2.895 V, Average Power (Without Zeros): 1.6762e-05 W, Total Power: 1.6762e-05 W*h

Timestamp: 2024-03-25 01:24:48, Average Voltage (With Zeros): 0 V, Average Power (With Zeros): 0 W, Average Voltage (Without Zeros): 0 V, Average Power (Without Zeros): 0 W, Total Power: 0 W*h

Timestamp: 2024-03-25 01:24:49, Average Voltage (With Zeros): 1.594 V, Average Power (With Zeros): 5.08167e-06 W, Average Voltage (Without Zeros): 3.188 V, Average Power (Without Zeros): 2.03267e-05 W, Total Power: 2.03267e-05 W*h

Timestamp: 2024-03-25 01:24:50, Average Voltage (With Zeros): 0 V, Average Power (With Zeros): 0 W, Average Voltage (Without Zeros): 0 V, Average Power (Without Zeros): 0 W, Total Power: 0 W*h

Timestamp: 2024-03-25 01:24:51, Average Voltage (With Zeros): 0 V, Average Power (With Zeros): 0 W, Average Voltage (Without Zeros): 0 V, Average Power (Without Zeros): 0 W, Total Power: 0 W*h

Timestamp: 2024-03-25 01:24:53, Average Voltage (With Zeros): 0 V, Average Power (With Zeros): 0 W, Average Voltage (Without Zeros): 0 V, Average Power (Without Zeros): 0 W, Total Power: 0 W*h

Timestamp: 2024-03-25 01:24:54, Average Voltage (With Zeros): 0 V, Average Power (With Zeros): 0 W, Average Voltage (Without Zeros): 0 V, Average Power (Without Zeros): 0 W, Total Power: 0 W*h

Timestamp: 2024-03-25 01:24:55, Average Voltage (With Zeros): 3.47033 V, Average Power (With Zeros): 2.40864e-05 W, Average Voltage (Without Zeros): 5.2055 V, Average Power (Without Zeros): 5.41945e-05 W, Total Power: 0.000113592 W*h

Timestamp: 2024-03-25 01:24:56, Average Voltage (With Zeros): 2.55433 V, Average Power (With Zeros): 1.30492e-05 W, Average Voltage (Without Zeros): 3.8315 V, Average Power (Without Zeros): 2.93608e-05 W, Total Power: 6.12148e-05 W*h

Timestamp: 2024-03-25 01:24:57, Average Voltage (With Zeros): 1.10167 V, Average Power (With Zeros): 2.42734e-06 W, Average Voltage (Without Zeros): 3.305 V, Average Power (Without Zeros): 2.18461e-05 W, Total Power: 2.18461e-05 W*h

Timestamp: 2024-03-25 01:24:58, Average Voltage (With Zeros): 1.34533 V, Average Power (With Zeros): 3.61984e-06 W, Average Voltage (Without Zeros): 4.036 V, Average Power (Without Zeros): 3.25786e-05 W, Total Power: 3.25786e-05 W*h

Timestamp: 2024-03-25 01:24:59, Average Voltage (With Zeros): 1.02367 V, Average Power (With Zeros): 2.09579e-06 W, Average Voltage (Without Zeros): 3.071 V, Average Power (Without Zeros): 1.88621e-05 W, Total Power: 1.88621e-05 W*h

Timestamp: 2024-03-25 01:25:00, Average Voltage (With Zeros): 2.705 V, Average Power (With Zeros): 1.4634e-05 W, Average Voltage (Without Zeros): 5.41 V, Average Power (Without Zeros): 5.85362e-05 W, Total Power: 5.85362e-05 W*h

Timestamp: 2024-03-25 01:25:01, Average Voltage (With Zeros): 1.5355 V, Average Power (With Zeros): 4.71552e-06 W, Average Voltage (Without Zeros): 3.071 V, Average Power (Without Zeros): 1.88621e-05 W, Total Power: 1.88621e-05 W*h

Timestamp: 2024-03-25 01:25:02, Average Voltage (With Zeros): 2.515 V, Average Power (With Zeros): 1.26505e-05 W, Average Voltage (Without Zeros): 5.03 V, Average Power (Without Zeros): 5.06018e-05 W, Total Power: 5.06018e-05 W*h

Timestamp: 2024-03-25 01:25:03, Average Voltage (With Zeros): 2.164 V, Average Power (With Zeros): 9.36579e-06 W, Average Voltage (Without Zeros): 4.328 V, Average Power (Without Zeros): 3.74632e-05 W, Total Power: 3.74632e-05 W*h

Timestamp: 2024-03-25 01:25:04, Average Voltage (With Zeros): 0 V, Average Power (With Zeros): 0 W, Average Voltage (Without Zeros): 0 V, Average Power (Without Zeros): 0 W, Total Power: 0 W*h

Timestamp: 2024-03-25 01:25:05, Average Voltage (With Zeros): 4.562 V, Average Power (With Zeros): 4.16237e-05 W, Average Voltage (Without Zeros): 4.562 V, Average Power (Without Zeros): 4.16237e-05 W, Total Power: 4.16237e-05 W*h

Timestamp: 2024-03-25 01:25:06, Average Voltage (With Zeros): 0 V, Average Power (With Zeros): 0 W, Average Voltage (Without Zeros): 0 V, Average Power (Without Zeros): 0 W, Total Power: 0 W*h

Timestamp: 2024-03-25 01:25:07, Average Voltage (With Zeros): 2.0035 V, Average Power (With Zeros): 8.02802e-06 W, Average Voltage (Without Zeros): 4.007 V, Average Power (Without Zeros): 3.21121e-05 W, Total Power: 3.21121e-05 W*h

